years,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
total,2223,3240,4360,5499,6740,8555,10634,13593,17290,18638,20952,23369,26629,29792,32495,34030,36709,39167,43724,47867,51344,57244,65338,73709
inflation_year,20%,19%,15%,12%,12%,11%,9%,12%,13%,9%,9%,6%,7%,6%,11%,13%,5%,3%,4%,3%,5%,8%,12%,7%
construction_avg_salary_inflation_adjusted_2000,2640,3211,3464,4015,4405,5093,5767,7258,8872,8140,9148,9859,10536,10954,11319,11068,11400,11654,13213,14413,14971,17102,19495,21276
finance_avg_salary_inflation_adjusted_2000,5232,7392,9545,10115,10483,12651,14795,17662,20001,19033,21657,23225,23953,25044,26438,25891,28310,29380,31241,35049,37707,42873,46979,52185
education_avg_salary_inflation_adjusted_2000,1240,1525,2109,2201,2535,3058,3705,4445,5406,5971,6082,6581,7712,9276,9972,9948,9904,10470,11787,12534,13239,14285,15506,16745
